27.030000	34.280000	005
36.660000	44.980000	010
45.980000	53.310000	013
53.430000	60.810000	017
61.220000	65.300000	019
65.690000	74.430000	023
74.690000	80.540000	026
80.960000	82.870000	027
83.140000	90.320000	030
92.160000	98.060000	033
98.480000	101.260000	034
101.390000	105.180000	036
105.510000	111.670000	040
112.070000	120.030000	044
120.360000	123.240000	046
123.510000	132.090000	050
132.480000	139.440000	054
139.880000	146.140000	057
146.400000	153.480000	059
154.130000	161.130000	064
162.770000	172.080000	070
172.510000	176.460000	071	실수
176.530000	180.290000	073
180.570000	189.780000	078
190.610000	197.360000	082
198.100000	202.850000	085
203.790000	212.070000	089
212.680000	221.950000	093
222.660000	228.480000	096
229.130000	238.160000	101
239.640000	244.450000	104
244.990000	248.650000	106
249.210000	254.000000	108
254.180000	260.490000	112
261.140000	264.670000	114
265.110000	270.420000	117
270.640000	273.840000	118
275.260000	279.090000	120
279.700000	282.490000	122
282.930000	286.500000	123
286.660000	293.790000	126
294.530000	303.090000	130
303.660000	312.370000	133
312.750000	322.320000	136
322.600000	329.730000	140
329.840000	333.150000	142
334.810000	340.650000	144
340.720000	342.070000	145	실수
342.190000	343.630000	146
344.040000	351.400000	150
352.120000	356.300000	153
357.120000	360.810000	154
361.140000	362.820000	155
363.490000	366.940000	157
367.390000	376.060000	161
376.670000	378.980000	162
379.430000	380.940000	163	실수
380.960000	383.480000	164
383.920000	391.390000	167
391.650000	392.750000	168
393.470000	394.960000	169
395.820000	397.000000	170
397.410000	401.120000	171	실수
401.180000	406.010000	173
407.440000	416.610000	177
417.240000	420.170000	178
421.700000	424.460000	179
424.980000	428.350000	180
428.570000	434.760000	183
436.080000	441.610000	186
442.060000	445.710000	188
446.300000	454.450000	192
455.560000	458.210000	194
458.850000	467.680000	198
468.230000	472.000000	200
472.490000	476.260000	202
476.490000	482.700000	205
483.500000	487.050000	207
487.250000	491.590000	210
491.850000	498.460000	215
498.690000	503.460000	218
503.450000	510.350000	221
511.270000	513.810000	222
513.830000	523.070000	227
524.460000	534.270000	232
534.830000	544.300000	239
545.230000	549.100000	241
549.310000	551.490000	242	실수
551.490000	553.030000	243
553.440000	560.940000	247
561.440000	565.300000	250
565.670000	571.410000	252
571.710000	573.970000	254
574.460000	580.120000	258
580.200000	586.340000	262
586.550000	592.280000	266
