0	71	0	018	fade-in
72	312	1	019	인사
313	1122	2	020
1123	1659	1	021
1660	2004	2	022
2005	2476	1	023
2477	3301	2	024
3302	3850	1	025
3851	4334	0	026
4335	4895	2	027
4896	5671	1	028
5672	7369	2	029
7370	8124	1	030
8125	8518	0	031
8519	9158	2	032
9159	10051	1	033
10052	10797	2	034
10798	11537	1	035
11538	12108	0	036
12109	12694	1	037
12695	13119	2	038
13120	13728	1	039
13729	14690	2	040
14691	15335	1	041
15336	15984	2	042
15985	16365	0	043
16366	17189	1	044
17190	17997	2	045
17998	19390	1	046
19391	19822	0	050
19823	21499	1	051
21500	22337	2	052
22338	23256	1	053
23257	23968	2	054
23969	24520	0	055
24521	26384	1	056
26385	26774	0	057
26775	29094	1	060
29095	29570	0	061
29571	31033	2	062
31034	32371	1	063
32372	32428	1	064	인사
32429	32502	0	084	fade-out
