0	716	0	162	fade-in
717	1840	1	163
1841	2350	2	164
2351	2885	1	165
2886	3270	2	166
3271	3666	1	167
3667	3943	0	168
3944	4772	1	169
4773	5238	2	170
5239	6036	1	171
6037	6556	2	172
6557	7250	1	173
7251	7765	2	174
7766	8315	1	175
8316	8592	0	176
8593	9145	2	177
9146	9609	1	178
9610	10123	2	179
10124	10532	1	180
10533	10787	0	181
10788	11710	1	182
11711	12052	2	183
12053	12970	1	184
12971	13754	2	185
13755	14368	1	186
14369	14700	0	187
14701	15299	2	188
15300	15993	1	189
15994	16560	2	190
16561	17159	1	191
17160	17464	0	192
17465	18195	1	193
18196	18647	2	194
18648	19198	1	195
19199	19655	2	196
19656	19962	1	197
19963	20471	0	198
20472	20812	1	199
20813	21359	2	200
21360	22189	1	201
22190	22565	2	202
22566	23209	1	203
23210	23507	0	204
23508	24279	1	205
24280	24619	2	206
24620	25215	1	207
25216	25475	0	208
25476	25946	2	209
25947	26474	1	210
26475	27080	2	211
27081	27742	1	212
27743	28471	2	213
28472	29037	1	214
29038	29285	2	215
29286	30054	1	216
30055	30352	2	217
30353	30641	0	218
30642	31345	1	219
31346	31991	2	220
31992	32707	1	221
32708	33056	0	222
33057	33855	2	223
33856	34537	1	224
34538	35210	0	363	fade-out
