0	680	0	020	fade-in
681	1844	1	021
1845	2542	2	022
2543	3222	1	023
3223	3706	2	024
3707	4363	0	025
4364	5828	1	026
5829	6329	2	027
6330	6718	0	028
6719	7572	1	029
7573	8159	2	030
8160	9161	1	031
9162	10015	2	032
10016	10382	1	033
10383	10932	0	034
10933	11784	1	035
11785	12792	2	036
12793	13416	1	037
13417	13851	2	038
13852	14328	0	039
14329	14989	1	040
14990	15680	2	041
15681	15928	1	042
15929	16346	0	043
16347	17218	1	044
17219	17546	2	045
17547	18097	0	046
18098	18677	1	047
18678	19248	2	048
19249	19628	0	049
19629	20401	1	050
20402	20976	2	051
20977	21577	1	052
21578	22380	2	053
22381	22975	1	054
22976	23502	0	055
23503	24122	1	056
24123	25428	2	057
25429	26213	1	058
26214	26651	0	059
26652	27672	1	060
27673	27958	2	061
27959	28547	1	062
28548	29357	2	063
29358	30123	1	064
30124	31273	2	065
31274	31739	1	066
31740	32009	2	067
32010	32496	0	068
32497	33332	1	069
33333	33735	2	070
33736	34861	1	071
34862	35356	0	072	fade-out
