0	107	0	019	fade-in
108	1423	1	020
1424	2645	2	021
2646	3633	1	022
3634	4624	2	023
4625	4998	0	024
4999	5938	1	025
5939	6515	2	026
6516	7046	1	027
7047	7753	2	028
7754	8678	1	029
8679	9062	0	030
9063	9835	1	031
9836	11167	2	032
11168	11867	1	033
11868	12580	2	034
12581	13666	1	035
13667	14707	2	036
14708	15410	1	037
15411	16203	2	038
16204	17191	1	039
17192	17726	2	040
17727	18194	1	041
18195	18553	0	042
18554	19209	2	043
19210	20124	1	044
20125	20833	2	045
20834	21351	0	046
21352	22560	1	047
22561	23373	2	048
23374	23981	1	049
23982	24350	0	050
24351	24901	2	051
24902	26023	1	052	인사
26024	26422	0	053	fade-out
