0	29	0	018	fade-in
30	196	1	019	인사
197	1629	1	020
1630	2652	2	021
2653	3068	0	022
3069	4011	1	023
4012	4402	2	024
4403	4970	1	025
4971	5250	0	026
5251	5772	2	027
5773	7058	1	028
7059	7456	2	029
7457	7996	0	030
7997	9000	1	031
9001	10227	2	032
10228	10922	1	033
10923	11797	2	034
11798	12304	0	035
12305	13565	1	036
13566	14255	2	040
14256	15521	1	041
15522	16150	0	042
16151	17299	2	043
17300	18458	1	045
18459	18996	2	046
18997	19598	1	050
19599	20100	0	051
20101	21081	2	052
21082	22318	1	053
22319	22621	0	055
22622	23000	2	056
23001	23957	1	057
23958	24519	2	058
24520	25277	1	059
25278	26611	2	060
26612	27584	1	061
27585	27978	2	062
27979	28596	0	063
28597	30320	2	064
30321	31509	1	065
31510	32165	2	066
32166	32374	1	067
32375	32424	1	068
32425	32487	0	070	fade-out
