0	727	0	067	fade-in
728	942	4	068	zoom-in
943	1836	1	068	인사
1837	2296	2	069
2297	3449	1	070
3450	4019	2	071
4020	5717	1	072
5718	6106	0	073
6107	7016	1	074
7017	7399	2	075
7400	8790	1	076
8791	9018	0	077
9019	10798	1	078
10799	11169	2	079
11170	12730	1	080
12731	13140	2	081
13141	14876	1	082
14877	15186	2	083
15187	16974	1	084
16975	17212	0	085
17213	18763	1	086
18764	19022	2	087
19023	20117	1	088
20118	20435	2	089
20436	21875	1	090
21876	22139	2	091
22140	22955	1	092
22956	23349	2	093
23350	24422	1	094
24423	24627	0	095
24628	26040	1	096
26041	26372	2	097
26373	27898	1	099	인사
27899	28418	0	177	fade-out
