0	91	0	018	fade-in
92	877	1	019
878	1276	2	020
1277	1623	3	021
1624	2006	1	022
2007	2539	0	023
2540	3177	2	024
3178	4043	1	025
4044	4469	3	026
4470	5021	2	027
5022	5707	1	028
5708	6305	3	029
6306	6868	2	030
6869	7472	1	031
7473	7998	2	032
7999	8926	0	033
8927	9704	1	034
9705	10423	2	035
10424	10794	3	036
10795	11079	1	037
11080	11846	2	038
11847	12408	3	039
12409	13158	2	040
13159	13879	1	041
13880	14858	2	042
14859	15447	3	043
15448	16275	0	045
16276	16939	1	046
16940	17795	2	047
17796	18408	3	048
18409	19662	1	050
19663	20466	2	051
20467	21061	3	052
21062	21695	1	053
21696	22197	2	055
22198	22547	3	056
22548	23147	1	057
23148	23933	0	058
23934	25190	1	059
25191	25883	3	060
25884	26520	2	061
26521	27545	1	062
27546	28063	2	063
28064	28734	3	064
28735	30007	1	065
30008	30646	0	066
30647	31991	1	067
31992	32245	3	068
32246	32895	1	070
32896	33394	2	080
33395	34105	3	081
34106	35400	1	082
35401	35449	1	083	인사
35450	35504	0	064	fade-out
