0	649	0	189	fade-in
650	2135	1	190	인사
2136	2798	2	191
2799	4305	1	192
4306	5362	2	193
5363	6298	1	194
6299	6728	0	195
6729	7319	2	196
7320	8272	1	197
8273	9221	2	198
9222	10519	1	199
10520	11534	2	200
11535	12164	1	201
12165	13287	2	202
13288	13608	0	203
13609	14450	1	204
14451	15334	2	205
15335	16027	1	206
16028	16353	0	207
16354	16918	2	208
16919	17757	1	209
17758	18525	2	210
18526	19474	1	211
19475	20703	2	212
20704	20982	0	213
20983	21547	1	214
21548	22219	2	215
22220	22508	0	216
22509	23488	1	217
23489	24402	2	218
24403	25321	1	219
25322	26400	2	220
26401	26758	0	221
26759	27264	1	222
27265	28080	2	223
28081	29284	1	224
29285	29984	2	225
29985	30751	1	226
30752	31105	0	227
31106	33097	1	228	인사
33098	33183	0	232	fade-out
